"","bkgrd","focal","water","soil_sand_ratio","rep","empty_pot_weight_g","soil_actual_weight_g","sand_actual_weight_g","notes","Wfc","Water_amt_treatment","Target_weight","Water_needed"
"1","ACAM","BRHO",1,"100_0",1,30.9,912.8,0,"",325.867255599281,325.867255599281,1205.34981745012,261.649817450117
"2","ACAM","BRHO",1,"100_0",2,29.3,973.1,0,"",347.39420072706,347.39420072706,1281.33452822164,278.934528221636
"3","ACAM","BRHO",1,"100_0",3,28,826.5,0,"",295.058377248911,295.058377248911,1091.41232923151,236.912329231509
"4","ACAM","BRHO",1,"100_0",4,27.9,934,0,"",333.43560115001,333.43560115001,1229.62669752236,267.726697522359
"5","ACAM","BRHO",1,"100_0",5,30.2,900.4,0,"",321.440487446969,321.440487446969,1188.69541589843,258.095415898428
"6","ACAM","BRHO",1,"75_25",1,27.9,749.4,304,"",306.772011202124,306.772011202124,1316.20490719444,234.904907194442
"7","ACAM","BRHO",1,"75_25",2,27.8,735.5,268.9,"",292.453883375827,292.453883375827,1255.97518979235,223.77518979235
"8","ACAM","BRHO",1,"75_25",3,27.6,714.7,291,"",292.882542965158,292.882542965158,1257.57536787994,224.275367879935
"9","ACAM","BRHO",1,"75_25",4,30.1,746.8,297.3,"",304.054401021357,304.054401021357,1306.99216286355,232.792162863551
"10","ACAM","BRHO",1,"75_25",5,30.1,717.8,289.1,"",293.226830543142,293.226830543142,1261.52122134768,224.521221347676
"11","ACAM","BRHO",1,"60_40",1,30,621.3,541.7,"",300.104822316734,300.104822316734,1415.28004009101,222.280040091005
"12","ACAM","BRHO",1,"60_40",2,30.4,563.9,413.3,"",252.074936366669,252.074936366669,1193.97469786811,186.374697868109
"13","ACAM","BRHO",1,"60_40",3,27.9,651.8,430.1,"",279.026917814754,279.026917814754,1315.88470118865,206.084701188651
"14","ACAM","BRHO",1,"60_40",4,27.7,595.6,436.7,"",266.288526199723,266.288526199723,1256.88444762745,196.884447627447
"15","ACAM","BRHO",1,"60_40",5,28.2,685.5,531.9,"",314.070737977799,314.070737977799,1477.94652902483,232.346529024826
"16","ACAM","BRHO",1,"50_50",1,28.2,451.3,621.7,"",248.742600990226,248.742600990226,1279.0394712436,177.839471243605
"17","ACAM","BRHO",1,"50_50",2,30.4,489.8,604.6,"",253.64954511557,253.64954511557,1305.91477563752,181.11477563752
"18","ACAM","BRHO",1,"50_50",3,28.5,441.2,582.7,"",237.340936585176,237.340936585176,1222.00449195604,169.60449195604
"19","ACAM","BRHO",1,"50_50",4,29.2,488.4,594.2,"",250.907549779288,250.907549779288,1290.92624089143,179.126240891427
"20","ACAM","BRHO",1,"50_50",5,30.5,449.2,576.8,"",237.814730785748,237.814730785748,1226.38703714518,169.887037145176
"21","ACAM","BRHO",0.75,"75_25",1,28.7,824.4,275.3,"removed 100g after switching from 1200 to 1100 total g; CW adjusted soil weights down",320.158589186657,240.118941889993,1293.18288562065,164.782885620653
"22","ACAM","BRHO",0.75,"75_25",2,28.6,824.6,274.8,"removed 100g after switching from 1200 to 1100 total g; CW adjusted soil weights down",320.070270061584,240.052702546188,1292.7340646741,164.734064674099
